SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Sun Jan 01 01:00:42 GMT-03:00 2006
User: Lavfis
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: HR4C5405
Integration Time (usec): 4000 (HR4C5405)
Spectra Averaged: 5 (HR4C5405)
Boxcar Smoothing: 3 (HR4C5405)
Correct for Electrical Dark: Yes (HR4C5405)
Strobe/Lamp Enabled: No (HR4C5405)
Correct for Detector Non-linearity: No (HR4C5405)
Correct for Stray Light: No (HR4C5405)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
194,53	5,263
194,80	-59,306
195,07	-59,306
195,34	-69,141
195,61	-23,174
195,88	-15,964
196,15	-12,733
196,42	108,727
196,69	386,027
196,96	-577,852
197,23	210,018
197,50	-69,972
197,77	72,370
198,04	-5094,068
198,31	-53,382
198,58	-49,462
198,85	-49,300
199,12	-47,913
199,39	-35,374
199,66	-18,995
199,93	-16,693
200,20	-22,059
200,47	-24,954
200,74	-39,375
201,01	-11,873
201,28	0,950
201,55	-7,354
201,82	9,861
202,09	41,417
202,36	36,844
202,63	36,844
202,90	0,098
203,17	-25,291
203,44	1,380
203,71	-6,826
203,98	-9,122
204,25	0,116
204,52	3,640
204,79	41,764
205,06	55,584
205,33	59,115
205,60	66,531
205,86	67,481
206,13	84,047
206,40	72,487
206,67	43,370
206,94	-17,755
207,21	19,856
207,48	26,017
207,75	-8,014
208,02	-27,226
208,29	-1,236
208,56	5,892
208,83	21,576
209,10	11,624
209,37	6,115
209,64	7,540
209,91	9,684
210,18	-0,734
210,45	-14,707
210,72	-41,715
210,99	-74,852
211,26	-67,248
211,53	13,013
211,80	34,051
212,07	60,490
212,33	64,157
212,60	64,714
212,87	47,013
213,14	46,882
213,41	16,057
213,68	15,426
213,95	2,134
214,22	-7,861
214,49	6,339
214,76	9,515
215,03	6,529
215,30	12,387
215,57	11,746
215,84	12,108
216,11	12,654
216,38	15,195
216,65	22,303
216,91	38,192
217,18	33,427
217,45	35,377
217,72	40,495
217,99	50,217
218,26	51,365
218,53	42,994
218,80	30,261
219,07	35,044
219,34	36,258
219,61	28,321
219,88	21,500
220,15	17,267
220,42	13,712
220,68	16,751
220,95	15,952
221,22	13,664
221,49	10,168
221,76	11,133
222,03	10,751
222,30	9,893
222,57	6,438
222,84	1,829
223,11	-2,336
223,38	4,314
223,65	-3,440
223,92	-5,838
224,18	-6,805
224,45	-7,478
224,72	-7,050
224,99	-4,713
225,26	-7,157
225,53	-3,195
225,80	-0,539
226,07	2,028
226,34	4,535
226,61	7,126
226,88	4,924
227,14	4,910
227,41	6,068
227,68	3,424
227,95	3,844
228,22	4,546
228,49	4,497
228,76	4,520
229,03	5,886
229,30	5,605
229,57	7,397
229,83	8,438
230,10	6,898
230,37	5,916
230,64	8,606
230,91	8,006
231,18	8,421
231,45	6,674
231,72	6,026
231,99	6,838
232,25	7,011
232,52	5,728
232,79	5,487
233,06	5,575
233,33	6,468
233,60	6,443
233,87	6,864
234,14	6,159
234,41	7,758
234,67	8,465
234,94	7,647
235,21	7,568
235,48	7,925
235,75	8,297
236,02	8,451
236,29	5,249
236,56	4,888
236,82	4,154
237,09	4,924
237,36	5,133
237,63	3,734
237,90	5,248
238,17	7,142
238,44	5,916
238,71	8,850
238,97	8,530
239,24	7,228
239,51	8,126
239,78	8,652
240,05	10,616
240,32	12,801
240,59	10,055
240,86	10,237
241,12	11,409
241,39	9,874
241,66	10,074
241,93	9,750
242,20	7,721
242,47	8,681
242,74	10,268
243,00	10,057
243,27	11,712
243,54	9,246
243,81	8,598
244,08	6,845
244,35	9,819
244,62	9,315
244,88	6,110
245,15	2,035
245,42	7,836
245,69	10,645
245,96	17,938
246,23	13,562
246,50	12,199
246,76	11,924
247,03	17,041
247,30	13,189
247,57	3,238
247,84	2,938
248,11	12,183
248,37	10,055
248,64	9,927
248,91	8,986
249,18	7,628
249,45	6,615
249,72	1,567
249,99	-5,425
250,25	-3,686
250,52	0,984
250,79	1,680
251,06	1,770
251,33	8,491
251,60	11,557
251,86	13,982
252,13	15,429
252,40	15,044
252,67	14,077
252,94	15,226
253,21	14,485
253,47	13,532
253,74	11,413
254,01	11,169
254,28	11,056
254,55	11,102
254,81	10,964
255,08	9,234
255,35	9,912
255,62	9,866
255,89	9,135
256,16	8,634
256,42	8,760
256,69	7,927
256,96	8,414
257,23	8,184
257,50	8,181
257,76	8,574
258,03	8,777
258,30	8,810
258,57	9,633
258,84	9,775
259,11	10,385
259,37	11,024
259,64	11,545
259,91	11,419
260,18	11,321
260,45	10,748
260,71	10,918
260,98	10,229
261,25	9,819
261,52	9,373
261,79	9,694
262,05	9,931
262,32	10,431
262,59	10,434
262,86	10,536
263,13	10,606
263,39	10,613
263,66	10,496
263,93	10,532
264,20	10,554
264,47	10,403
264,73	10,487
265,00	10,602
265,27	10,719
265,54	10,647
265,81	10,533
266,07	10,398
266,34	10,471
266,61	10,444
266,88	10,425
267,15	10,474
267,41	10,594
267,68	10,532
267,95	10,714
268,22	10,966
268,48	11,184
268,75	11,322
269,02	11,449
269,29	11,512
269,56	11,659
269,82	11,566
270,09	11,383
270,36	11,279
270,63	11,316
270,89	11,092
271,16	11,164
271,43	11,233
271,70	11,366
271,97	11,354
272,23	11,466
272,50	11,424
272,77	11,516
273,04	11,520
273,30	11,705
273,57	11,726
273,84	11,910
274,11	11,993
274,37	12,069
274,64	12,317
274,91	12,332
275,18	12,243
275,45	12,242
275,71	12,340
275,98	12,310
276,25	12,343
276,52	12,252
276,78	12,344
277,05	12,473
277,32	12,576
277,59	12,568
277,85	12,803
278,12	13,038
278,39	13,207
278,66	13,297
278,92	13,311
279,19	13,364
279,46	13,427
279,73	13,353
279,99	13,154
280,26	12,980
280,53	13,135
280,80	13,082
281,06	13,062
281,33	13,185
281,60	13,248
281,87	13,344
282,13	13,570
282,40	13,456
282,67	13,661
282,94	13,820
283,20	13,746
283,47	13,814
283,74	14,003
284,01	14,055
284,27	14,128
284,54	14,090
284,81	14,131
285,07	14,114
285,34	14,201
285,61	14,111
285,88	14,080
286,14	14,240
286,41	14,435
286,68	14,338
286,95	14,501
287,21	14,427
287,48	14,568
287,75	14,663
288,02	14,680
288,28	14,624
288,55	14,821
288,82	14,852
289,08	15,015
289,35	15,024
289,62	15,113
289,89	15,051
290,15	15,064
290,42	15,013
290,69	15,017
290,95	14,970
291,22	14,963
291,49	14,992
291,76	15,040
292,02	15,072
292,29	15,185
292,56	15,191
292,82	15,278
293,09	15,386
293,36	15,464
293,63	15,437
293,89	15,532
294,16	15,535
294,43	15,628
294,69	15,640
294,96	15,603
295,23	15,591
295,50	15,711
295,76	15,741
296,03	15,765
296,30	15,841
296,56	15,816
296,83	15,936
297,10	15,975
297,36	15,982
297,63	15,977
297,90	16,042
298,16	16,129
298,43	16,231
298,70	16,170
298,97	16,179
299,23	16,300
299,50	16,387
299,77	16,395
300,03	16,362
300,30	16,377
300,57	16,421
300,83	16,479
301,10	16,473
301,37	16,463
301,63	16,516
301,90	16,547
302,17	16,609
302,44	16,605
302,70	16,666
302,97	16,692
303,24	16,744
303,50	16,757
303,77	16,774
304,04	16,724
304,30	16,863
304,57	16,794
304,84	16,864
305,10	16,875
305,37	16,920
305,64	16,912
305,90	16,981
306,17	17,000
306,44	17,075
